ano,orgao,codigo_orgao,orgao_superior,codigo_orgao_superior,empenhado,liquidado,pago,taxa_execucao,taxa_pagamento
2020,Fundo Nacional de Desenvolvimento da Educação,26298,Ministério da Educação,26000,47931776674.75,37683086299.69,37668659317.2,78.62,78.59
2020,Empresa Brasileira de Serviços Hospitalares,26443,Ministério da Educação,26000,7943104937.19,7144331045.6,6712898908.95,89.94,84.51
2020,Universidade Federal do Rio de Janeiro,26245,Ministério da Educação,26000,4158880420.78,4036787394.2,3805025965.57,97.06,91.49
2020,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,26291,Ministério da Educação,26000,3451763702.4,2999117003.01,2992374868.91,86.89,86.69
2020,Universidade Federal de Minas Gerais,26238,Ministério da Educação,26000,2508246789.64,2419402743.4,2284283916.38,96.46,91.07
2020,Universidade Federal Fluminense,26236,Ministério da Educação,26000,2384510727.98,2253606082.39,2115246722.95,94.51,88.71
2020,Universidade Federal do Rio Grande do Sul,26244,Ministério da Educação,26000,1997143732.08,1938418238.37,1824942274.07,97.06,91.38
2020,Universidade Federal da Bahia,26232,Ministério da Educação,26000,1968764533.96,1925267736.53,1807777358.71,97.79,91.82
2020,Fundação Universidade de Brasília,26271,Ministério da Educação,26000,2144305961.89,1910431794.82,1802182955.01,89.09,84.05
2020,Universidade Federal da Paraíba,26240,Ministério da Educação,26000,1969751966.93,1901972200.12,1757876172.8,96.56,89.24
2020,Universidade Federal do Paraná,26241,Ministério da Educação,26000,1898895050.97,1834709231.9,1731338987.49,96.62,91.18
2020,Universidade Federal de Santa Catarina,26246,Ministério da Educação,26000,2006701829.92,1833384970.88,1712868159.65,91.36,85.36
2020,Universidade Federal de Pernambuco,26242,Ministério da Educação,26000,1895154922.1,1813526870.83,1697701927.12,95.69,89.58
2020,Universidade Federal do Rio Grande do Norte,26243,Ministério da Educação,26000,1944171174.22,1787973902.71,1667037227.28,91.97,85.75
2020,Universidade Federal do Ceará,26233,Ministério da Educação,26000,1730049843.14,1658889077.61,1560696160.27,95.89,90.21
2020,Fundação Universidade Federal de Uberlândia,26274,Ministério da Educação,26000,1672725228.73,1611283634.86,1524017120.81,96.33,91.11
2020,Hospital de Clínicas de Porto Alegre,26294,Ministério da Educação,26000,1596688434.54,1553817331.68,1460371832.52,97.31,91.46
2020,Universidade Federal do Pará,26239,Ministério da Educação,26000,1591408485.05,1520562613.22,1428955340.84,95.55,89.79
2020,Universidade Federal de São Paulo,26262,Ministério da Educação,26000,1492024396.3,1429557335.21,1350896779.66,95.81,90.54
2020,Universidade Federal de Goiás,26235,Ministério da Educação,26000,1458174205.7,1415854738.49,1315467054.37,97.1,90.21
2020,Universidade Federal de Santa Maria,26247,Ministério da Educação,26000,1493080190.03,1400001512.19,1286553162.86,93.77,86.17
2020,Ministério da Educação - Unidades com vínculo direto,26000,Ministério da Educação,26000,1250762480.07,1070780710.43,1010314728.98,85.61,80.78
2020,Universidade Federal do Espírito Santo,26234,Ministério da Educação,26000,1118830613.6,1071991482.05,1001514584.16,95.81,89.51
2020,Universidade Federal de Alagoas,26231,Ministério da Educação,26000,1003694900.82,979046681.81,917200044.23,97.54,91.38
2020,Universidade Tecnológica Federal do Paraná,26258,Ministério da Educação,26000,1062184354.2,983557796.3,914192958.57,92.6,86.07
2020,Universidade Federal de Juiz de Fora,26237,Ministério da Educação,26000,1030271580.6,955480809.24,904761960.77,92.74,87.82
2020,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",26439,Ministério da Educação,26000,990631860.74,941388548.62,885447952.72,95.03,89.38
2020,Universidade Federal de Viçosa,26282,Ministério da Educação,26000,986564160.02,919063831.38,856869399.79,93.16,86.85
2020,Fundação Universidade Federal do Mato Grosso,26276,Ministério da Educação,26000,972061653.97,911173468.25,854183240.55,93.74,87.87
2020,Fundação Universidade Federal do Mato Grosso do Sul,26283,Ministério da Educação,26000,944927441.44,898972026.46,846219386.86,95.14,89.55
2020,Fundação Universidade do Maranhão,26272,Ministério da Educação,26000,936243941.39,905242708.81,844217117.8,96.69,90.17
2020,Fundação Universidade Federal de Pelotas,26278,Ministério da Educação,26000,863981353.68,844734500.01,791923424.49,97.77,91.66
2020,Fundação Universidade Federal do Piauí,26279,Ministério da Educação,26000,851977782.52,811562323.21,759227701.05,95.26,89.11
2020,Fundação Universidade do Amazonas,26270,Ministério da Educação,26000,859857258.41,796041677.48,744856894.59,92.58,86.63
2020,Fundação Universidade Federal de Sergipe,26281,Ministério da Educação,26000,833811298.98,790013706.14,738099918.44,94.75,88.52
2020,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",26405,Ministério da Educação,26000,817540012.54,750421847.85,689517398.32,91.79,84.34
2020,Universidade Federal de Campina Grande,26252,Ministério da Educação,26000,795427981.09,746475383.68,688871127.55,93.85,86.6
2020,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",26406,Ministério da Educação,26000,775418848.29,715280825.66,658797196.22,92.24,84.96
2020,Colégio Pedro II,26201,Ministério da Educação,26000,716306885.21,681919167.45,631866815.54,95.2,88.21
2020,Fundação Universidade Federal de São Carlos,26280,Ministério da Educação,26000,678664892.1,661615889.81,620734902.88,97.49,91.46
2020,Universidade Federal Rural do Rio de Janeiro,26249,Ministério da Educação,26000,710589962.22,672242536.86,615507438.36,94.6,86.62
2020,Universidade Federal Rural de Pernambuco,26248,Ministério da Educação,26000,670909548.58,635667292.99,595557351.05,94.75,88.77
2020,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",26408,Ministério da Educação,26000,656549891.89,622906366.0,579262890.39,94.88,88.23
2020,Universidade Federal do Estado do Rio de Janeiro,26269,Ministério da Educação,26000,629511719.29,595852257.64,564988345.04,94.65,89.75
2020,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",26435,Ministério da Educação,26000,678724486.2,604752532.06,557174218.2,89.1,82.09
2020,"Instituto Federal de Educação, Ciência e Tecnologia da Bahia",26427,Ministério da Educação,26000,623915118.64,592351267.49,550882237.5,94.94,88.29
2020,"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",26438,Ministério da Educação,26000,639220294.51,593670649.43,546948244.23,92.87,85.56
2020,Universidade Federal do Rio Grande,26273,Ministério da Educação,26000,593414648.37,578101514.26,539585499.25,97.42,90.93
2020,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba",26417,Ministério da Educação,26000,601483829.09,563139916.6,521076945.93,93.63,86.63
