ano,orgao,codigoOrgao,orgaoSuperior,codigoOrgaoSuperior,empenhado,liquidado,pago
2023,Fundo Nacional de Desenvolvimento da Educação,26298,Ministério da Educação,26000,"85.117.420.857,74","72.935.583.590,53","72.917.499.711,97"
2023,Empresa Brasileira de Serviços Hospitalares,26443,Ministério da Educação,26000,"10.416.077.643,66","9.535.227.966,02","8.837.850.471,77"
2023,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,26291,Ministério da Educação,26000,"5.265.239.235,43","4.729.488.875,63","4.721.140.325,36"
2023,Universidade Federal do Rio de Janeiro,26245,Ministério da Educação,26000,"4.403.037.484,33","4.324.107.853,24","3.952.657.059,33"
2023,Universidade Federal de Minas Gerais,26238,Ministério da Educação,26000,"2.779.986.882,31","2.701.001.911,59","2.448.998.943,35"
2023,Universidade Federal Fluminense,26236,Ministério da Educação,26000,"2.608.521.861,42","2.533.286.028,88","2.350.971.994,82"
2023,Universidade Federal da Bahia,26232,Ministério da Educação,26000,"2.263.725.471,55","2.205.693.774,30","2.022.478.340,83"
2023,Fundação Universidade de Brasília,26271,Ministério da Educação,26000,"2.348.142.791,30","2.177.567.183,75","1.987.787.833,43"
2023,Universidade Federal do Rio Grande do Sul,26244,Ministério da Educação,26000,"2.199.798.294,47","2.169.915.488,00","1.968.142.638,60"
2023,Universidade Federal do Paraná,26241,Ministério da Educação,26000,"2.182.225.912,25","2.115.309.982,48","1.930.117.851,93"
2023,Universidade Federal do Rio Grande do Norte,26243,Ministério da Educação,26000,"2.154.052.044,80","2.104.567.781,83","1.902.788.187,13"
2023,Universidade Federal de Santa Catarina,26246,Ministério da Educação,26000,"2.190.543.478,17","2.096.052.240,29","1.891.091.276,52"
2023,Universidade Federal da Paraíba,26240,Ministério da Educação,26000,"2.159.551.467,48","2.088.916.181,99","1.872.130.959,87"
2023,Universidade Federal de Pernambuco,26242,Ministério da Educação,26000,"2.128.331.619,38","2.032.057.855,22","1.844.361.080,32"
2023,Hospital de Clínicas de Porto Alegre,26294,Ministério da Educação,26000,"1.989.347.407,86","1.918.014.659,05","1.732.829.797,08"
2023,Universidade Federal do Ceará,26233,Ministério da Educação,26000,"1.938.390.814,20","1.852.171.809,96","1.681.618.214,94"
2023,Universidade Federal do Pará,26239,Ministério da Educação,26000,"1.816.343.675,52","1.760.883.497,97","1.633.903.476,28"
2023,Fundação Universidade Federal de Uberlândia,26274,Ministério da Educação,26000,"1.700.854.634,07","1.660.632.276,82","1.520.460.002,72"
2023,Universidade Federal de Santa Maria,26247,Ministério da Educação,26000,"1.659.239.478,23","1.621.451.200,38","1.501.552.346,33"
2023,Universidade Federal de São Paulo,26262,Ministério da Educação,26000,"1.660.396.394,16","1.586.715.873,40","1.442.535.587,63"
2023,Universidade Federal de Goiás,26235,Ministério da Educação,26000,"1.564.244.641,69","1.486.465.601,28","1.375.064.836,02"
2023,Universidade Federal do Espírito Santo,26234,Ministério da Educação,26000,"1.246.316.197,17","1.216.673.353,90","1.124.524.775,80"
2023,Universidade Federal de Juiz de Fora,26237,Ministério da Educação,26000,"1.239.591.462,60","1.165.327.139,69","1.071.211.493,03"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",26439,Ministério da Educação,26000,"1.230.237.542,09","1.144.156.807,96","1.049.616.661,01"
2023,Ministério da Educação - Unidades com vínculo direto,26000,Ministério da Educação,26000,"1.477.941.670,83","1.083.373.578,31","1.035.174.418,30"
2023,Universidade Tecnológica Federal do Paraná,26258,Ministério da Educação,26000,"1.202.037.202,37","1.121.338.046,48","1.028.323.810,07"
2023,Universidade Federal de Alagoas,26231,Ministério da Educação,26000,"1.155.068.741,16","1.123.324.052,66","1.027.272.788,75"
2023,Fundação Universidade do Maranhão,26272,Ministério da Educação,26000,"1.102.923.419,12","1.068.906.490,28","991.323.621,64"
2023,Fundação Universidade Federal do Mato Grosso do Sul,26283,Ministério da Educação,26000,"1.102.445.381,75","1.058.461.591,71","984.514.258,18"
2023,Universidade Federal de Viçosa,26282,Ministério da Educação,26000,"1.099.828.540,65","1.047.127.671,18","968.254.279,39"
2023,Fundação Universidade Federal do Mato Grosso,26276,Ministério da Educação,26000,"1.037.980.786,39","997.442.037,83","901.079.245,57"
2023,Fundação Universidade Federal de Sergipe,26281,Ministério da Educação,26000,"978.222.332,93","936.865.936,53","866.305.246,32"
2023,Fundação Universidade do Amazonas,26270,Ministério da Educação,26000,"981.238.495,62","942.966.711,96","858.848.380,25"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará",26405,Ministério da Educação,26000,"1.024.389.243,08","946.454.046,04","850.791.772,72"
2023,Fundação Universidade Federal de Pelotas,26278,Ministério da Educação,26000,"967.922.597,15","946.741.259,40","850.281.066,93"
2023,Fundação Universidade Federal do Piauí,26279,Ministério da Educação,26000,"955.296.449,28","911.204.516,16","831.722.344,26"
2023,Universidade Federal de Campina Grande,26252,Ministério da Educação,26000,"910.868.122,35","887.552.962,01","790.558.547,69"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",26406,Ministério da Educação,26000,"928.590.074,19","876.126.734,87","789.458.859,03"
2023,Universidade Federal do Estado do Rio de Janeiro,26269,Ministério da Educação,26000,"860.396.174,84","794.978.490,92","746.462.292,66"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão",26408,Ministério da Educação,26000,"906.223.957,19","816.236.681,35","729.411.488,00"
2023,Universidade Federal Rural do Rio de Janeiro,26249,Ministério da Educação,26000,"835.093.541,04","784.311.601,69","719.814.390,56"
2023,Colégio Pedro II,26201,Ministério da Educação,26000,"803.678.858,58","770.137.151,41","704.838.745,69"
2023,Fundação Universidade Federal de São Carlos,26280,Ministério da Educação,26000,"791.849.622,86","763.007.681,78","694.507.706,69"
2023,"Instituto Federal de Educação, Ciência e Tecnologia da Bahia",26427,Ministério da Educação,26000,"777.640.449,20","728.227.348,08","664.371.047,33"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",26435,Ministério da Educação,26000,"825.243.301,68","743.796.587,30","662.730.901,62"
2023,Universidade Federal Rural de Pernambuco,26248,Ministério da Educação,26000,"762.455.916,88","723.987.833,09","651.361.558,65"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina",26438,Ministério da Educação,26000,"738.202.761,17","698.647.143,59","619.927.937,87"
2023,Universidade Federal do Rio Grande,26273,Ministério da Educação,26000,"677.015.499,86","661.640.328,95","605.147.036,22"
2023,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba",26417,Ministério da Educação,26000,"709.914.518,26","678.522.630,24","604.048.503,88"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",26418,Ministério da Educação,26000,"699.532.862,21","661.707.966,03","603.351.644,45"
2023,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,26290,Ministério da Educação,26000,"1.092.755.000,19","574.951.886,88","554.214.957,08"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Pará",26416,Ministério da Educação,26000,"632.960.481,38","605.506.960,35","553.933.312,55"
2023,Universidade Federal do Triângulo Mineiro,26254,Ministério da Educação,26000,"610.143.453,87","590.608.400,28","535.980.428,16"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Mato Grosso",26414,Ministério da Educação,26000,"632.790.479,91","592.341.018,05","523.695.865,10"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí",26431,Ministério da Educação,26000,"613.884.894,55","583.746.148,09","523.326.960,04"
2023,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",26419,Ministério da Educação,26000,"580.584.499,47","556.350.832,59","510.124.405,84"
2023,Centro Federal de Educação Tecnológica de Minas Gerais,26257,Ministério da Educação,26000,"561.629.752,67","551.958.458,07","504.084.763,96"
2023,"Instituto Federal de Educação, Ciência e Tecnologia de Goiás",26429,Ministério da Educação,26000,"592.429.021,54","566.438.424,26","497.504.783,79"
2023,"Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense",26436,Ministério da Educação,26000,"571.241.616,76","550.670.771,32","489.782.412,91"
2023,Instituto Federal do Paraná,26432,Ministério da Educação,26000,"573.292.399,40","543.444.163,48","489.760.291,28"
