codigo,descricao
00000,CODIGO INVALIDO - Unidades com vínculo direto
00202,CODIGO INVALIDO
00203,CODIGO INVALIDO
00239,CODIGO INVALIDO
00415,CODIGO INVALIDO
01000,Câmara dos Deputados - Unidades com vínculo direto
01280,CODIGO INVALIDO
01427,CODIGO INVALIDO
01901,Fundo Rotativo da Câmara dos Deputados
02000,Senado Federal - Unidades com vínculo direto
02001,Fundo Especial do Senado Federal
02002,Senado Federal/FUNSEEP
02003,Fundo da Secretaria Especial de Informática
02111,CODIGO INVALIDO
02121,CODIGO INVALIDO
02131,CODIGO INVALIDO
02132,CODIGO INVALIDO
02133,CODIGO INVALIDO
02201,CODIGO INVALIDO
02203,CODIGO INVALIDO
02210,CODIGO INVALIDO
02233,CODIGO INVALIDO
02904,CODIGO INVALIDO
02911,CODIGO INVALIDO
03000,Tribunal de Contas da União - Unidades com vínculo direto
04000,CODIGO INVALIDO
04205,CODIGO INVALIDO
04207,CODIGO INVALIDO
04901,CODIGO INVALIDO
04902,CODIGO INVALIDO
05000,CODIGO INVALIDO
05131,CODIGO INVALIDO
05206,CODIGO INVALIDO
06000,CODIGO INVALIDO
06201,CODIGO INVALIDO
06211,CODIGO INVALIDO
06212,CODIGO INVALIDO
06236,CODIGO INVALIDO
06238,CODIGO INVALIDO
06239,CODIGO INVALIDO
06242,CODIGO INVALIDO
06245,CODIGO INVALIDO
06246,CODIGO INVALIDO
06248,CODIGO INVALIDO
06250,CODIGO INVALIDO
06251,CODIGO INVALIDO
06261,CODIGO INVALIDO
06266,CODIGO INVALIDO
06271,CODIGO INVALIDO
06272,CODIGO INVALIDO
06274,CODIGO INVALIDO
06275,CODIGO INVALIDO
06286,CODIGO INVALIDO
06291,CODIGO INVALIDO
06352,CODIGO INVALIDO
06406,CODIGO INVALIDO
06408,CODIGO INVALIDO
06409,CODIGO INVALIDO
06412,CODIGO INVALIDO
06414,CODIGO INVALIDO
06415,CODIGO INVALIDO
06416,CODIGO INVALIDO
06423,CODIGO INVALIDO
06428,CODIGO INVALIDO
06432,CODIGO INVALIDO
06436,CODIGO INVALIDO
06437,CODIGO INVALIDO
06440,CODIGO INVALIDO
06443,CODIGO INVALIDO
06448,CODIGO INVALIDO
06452,CODIGO INVALIDO
07202,CODIGO INVALIDO
09000,CODIGO INVALIDO
09214,CODIGO INVALIDO
09250,CODIGO INVALIDO
10000,Supremo Tribunal Federal - Unidades com vínculo direto
11000,Superior Tribunal de Justiça - Unidades com vínculo direto
12000,Justiça Federal - Unidades com vínculo direto
12111,CODIGO INVALIDO
12132,CODIGO INVALIDO
12800,Justiça Federal
12801,Tribunal Regional Federal - 1ª Região
12802,Tribunal Regional Federal - 2ª Região
12803,Tribunal Regional Federal - 3ª Região
12804,Tribunal Regional Federal - 4ª Região
12805,Tribunal Regional Federal - 5ª Região
13000,Justiça Militar - Unidades com vínculo direto
14000,Justiça Eleitoral - Unidades com vínculo direto
14001,Fundo Especial de Assistência Financeira aos Partidos Políticos
15000,Justiça do Trabalho - Unidades com vínculo direto
15228,CODIGO INVALIDO
15250,CODIGO INVALIDO
15266,CODIGO INVALIDO
15268,CODIGO INVALIDO
15500,CODIGO INVALIDO
15577,CODIGO INVALIDO
16000,Justiça do Distrito Federal e Territórios - Unidades com vínculo direto
16231,CODIGO INVALIDO
16271,CODIGO INVALIDO
16280,CODIGO INVALIDO
16283,CODIGO INVALIDO
16352,CODIGO INVALIDO
16443,CODIGO INVALIDO
17000,Conselho Nacional de Justiça - Unidades com vínculo direto
19500,CODIGO INVALIDO
20000,Presidência da República - Unidades com vínculo direto
20101,Presidência da República
20102,Gabinete da Vice-Presidência da República
20103,Ministério da Administração Federal e Reforma do Estado - em extinção - Unidades com vínculo direto
20104,Secretaria de Assuntos Estratégicos
20105,Ministério da Defesa - Unidades com vínculo direto
20107,SECRETARIA DE AVIACAO CIVIL
20113,Ministério do Planejamento e Orçamento - Unidades com vínculo direto
20114,Advocacia-Geral da União - Unidades com vínculo direto
20115,Fundo Nacional para a Criança e o Adolescente
20116,Fundo de Imprensa Nacional
20117,Fundo Nacional Antidrogas
20118,AGENCIA BRASILEIRA DE INTELIGENCIA - ABIN
20121,SECRETARIA ESPECIAL DOS DIREITOS HUMANOS
20122,Secretaria Nacional de Políticas para Mulheres
20124,Secretaria Especial de Aqüicultura e Pesca
20125,Controladoria-Geral da União
20126,SECRETARIA ESPECIAL DE POLITICAS DE PROMOCAO DA IGUALDADE RACIAL
20128,SECRETARIA DE PORTOS
20129,Secretaria Especial de Agricultura Familiar e do Desenvolvimento Agrário
20202,Fundação Escola Nacional de Administração Pública
20203,Agência Nacional do Cinema
20213,Empresa Brasileira de Infraestrutura Aeroportuária
20214,Agência Nacional de Aviação Civil
20234,CODIGO INVALIDO
20301,Comissão Nacional de Energia Nuclear
20302,Nuclebrás Equipamentos Pesados S.A.
20303,Indústrias Nucleares do Brasil
20402,Agência Espacial Brasileira
20403,Fundação Casa de Rui Barbosa
20404,Fundação Biblioteca Nacional
20407,Fundação do Cinema Brasileiro
20408,Fundação Cultural Palmares
20410,Fundação Nacional Pró-Leitura
20411,Instituto do Patrimônio Histórico e Artístico Nacional
20412,Fundação Nacional de Artes
20415,Empresa Brasil de Comunicação
20501,Conselho Nacional de Desenvolvimento Científico e Tecnológico
20502,Financiadora de Estudos e Projetos
20503,Fundação Centro Tecnológico para Informática
20601,Superintendência do Desenvolvimento do Nordeste
20602,Superintendência do Desenvolvimento da Amazônia
20603,Superintendência da Zona Franca de Manaus
20604,Instituto Brasileiro de Turismo
20605,Companhia de Desenvolvimento de Barcarena
20701,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis
20801,Secretaria de Patrimônio da União
20802,"Subsecretaria de Planejamento, Orçamento e Administração/MP"
20803,Secretaria de Administração
20924,Fundo Nacional de Desenvolvimento
20929,Fundo Nacional do Idoso
21000,CODIGO INVALIDO
22000,Ministério da Agricultura e Pecuária - Unidades com vínculo direto
22200,CODIGO INVALIDO
22201,Instituto Nacional de Colonização e Reforma Agrária
22202,Empresa Brasileira de Pesquisa Agropecuária
22203,Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba
22204,Departamento Nacional de Obras Contra as Secas
22207,Companhia de Colonização do Nordeste
22211,Companhia Nacional de Abastecimento
22500,Companhia de Entrepostos e Armazéns Gerais de São Paulo
22801,Comissão Executiva do Plano da Lavoura Cacaueira
22802,Instituto Nacional de Meteorologia
22803,Secretaria Nacional de Defesa Agropecuária
22804,"Subsecretaria de Planejamento, Orçamento e Administração/MAPA"
22805,Fundo Geral do Cacau
22806,Secretaria de Desenvolvimento Agropecuário e Cooperativismo
22904,CODIGO INVALIDO
22905,Fundo de Defesa da Economia Cafeeira
23000,Ministério do Bem Estar Social - em extinção - Unidades com vínculo direto
23201,Fundação Centro Brasileira da Infância e Adolescência - em extinção
23202,Fundação Legião Brasileira de Assistência
24000,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto"
24101,CODIGO INVALIDO
24205,CODIGO INVALIDO
24208,Instituto Nacional de Tecnologia da Informação
24209,Centro Nacional de Tecnologia Eletrônica Avançada S.A.
24216,Telecomunicações Brasileiras S.A.
24801,Instituto Nacional de Pesquisas Espaciais
24802,"Subsecretaria de Planejamento, Orçamento e Administração/MCT"
24803,Financiadora de Estudos e Projetos
24901,Fundo Nacional de Desenvolvimento Científico e Tecnológico
25000,Ministério da Fazenda - Unidades com vínculo direto
25001,Fundo Especial de Desenvolvimento e Aperfeiçoamento das Atividades de Fiscalização
25002,Fundo Especial de Treinamento e Desenvolvimento
25101,CODIGO INVALIDO
25201,Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto
25202,Banco da Amazônia
25203,Comissão de Valores Mobiliários
25205,Fundação Instituto Brasileiro de Geografia e Estatística
25206,Instituto de Pesquisa Econômica Aplicada
25207,Serviço Federal de Processamento de Dados
25208,Superintendência de Seguros Privados
25209,Superintendência Nacional do Abastecimento - em extinção
25211,Casa da Moeda do Brasil
25220,Caixa Econômica Federal
25274,CODIGO INVALIDO
25280,Banco Central do Brasil
25281,Banco do Brasil S.A.
25282,Banco do Nordeste do Brasil
25289,Agência Brasileira Gestora de Fundos Garantidores e Garantias S.A.
25301,Empresa Gestora de Ativos
25500,CODIGO INVALIDO
25801,Receita Federal do Brasil
25802,Escola de Administração Fazendária
25803,Procuradoria-Geral da Fazenda Nacional
25804,"Subsecretaria de Planejamento, Orçamento e Administração/MF"
25805,Secretaria do Tesouro Nacional
25806,Secretaria de Acompanhamento Econômico
25901,Fundo de Compensação de Variações Salariais
